start_time	rating	tags	clip_name	clip_duration	notes
1:28	5	Chance Creation	Great Corner	15.0	Great corner
2:35	5	1v1 Attack	Highlight Reel Play	15.0	
2:50	5	Interception,Transition	Class Interception	15.0	Great read and interception
4:39	4	Possession,Pass	Receive Turn Pass	15.0	Great receive, turn and pass to open space
11:40	5	1v1 Attack,Chance Creation	Dribble Into Box	15.0	Great dribble; try curving it to the far post for Lance
11:55	5	Possession,1v1 Attack,Pass	Turn Drive Pass	15.0	Great turn, drive, and pass
12:14	5	1v1 Attack,Pass,Chance Creation	Excellent Dribble Pass	15.0	Excellent dribble and pass; next time kick through goalies leg
12:23	4	Chance Creation	Good Cross	15.0	Good cross; make it higher then go down so goalie cant get it
15:15	5	1v1 Attack,Chance Creation	Excellent Dribbling Shot	15.0	Excellent dribbling and good shot; keep it 2 feet lower for top bins
17:39	3	Possession,1v1 Attack	Body Control Play	15.0	Excellent use of body; good idea bad execution; consider dribbling more
17:42	4	Possession,Movement	Head Up Play	15.0	Great job keeping head up; scan behind to create more chances
19:52	5	Interception,Pass	Class Interception Pass	15.0	Very class interception and pass
19:55	3	Possession	Nice Control	15.0	Nice control
20:56	5	Possession	Class Control	15.0	Class control; should pass to Yuval
24:46	5	Possession,Pass	Great Control Pass	15.0	Great control and pass
26:02	5	Movement,Pass,1v1 Attack	Run Through Pass	15.0	Great run through and pass; out-physicaled a big CB
26:33	4	Possession,Chance Creation	Turn And Shot	15.0	Great turn and shot
45:13	4	Possession,Pass	Great Control Pass	15.0	Great control and pass
45:27	3	1v1 Attack	Full Effort Play	15.0	Good job giving it all you got
46:11	4	Pass	Great Pass	15.0	Great pass
50:23	4	Pass	Great Pass	15.0	Great pass
53:19	4	1v1 Attack	Great Dribbling	15.0	Great dribbling
54:24	4	1v1 Attack	Great Dribbling	15.0	Great dribbling
56:13	4	Possession,Pass	Control Pass Box	15.0	Great control and pass in the box
58:22	4	Pass	Great Forward Pass	15.0	Great forward pass
65:45	5	1v1 Defense,1v1 Attack,Chance Creation	Class Defense Dribble Cross	15.0	Class defense plus amazing dribbling and cross
71:38	5	1v1 Attack	Great Dribbling	15.0	Great dribbling
