start_time	rating	tags	clip_name	clip_duration	notes
0:55	4	Pass	Good Pass	7.0	smart ball into the attacking third
1:28	4	Chance Creation	Great Corner	10.0	<notes>
2:33	5	Dribble,Pass	Dribble and slip into box	9.0	<notes>
2:49	4	Transition,Interception	Good Transition and Interception	7.0	<notes>
4:31	4	Possession,Pass	Good Possession and Pass	7.0	Good receiving and then pass to open space
11:40	5	Dribble,Possession Play	Great Dribble	10.0	Great dribble; try curving it to the far post for Lance 
12:15	5	Pass,Dribble	Turn Drive Pass	11.5	Great turn, drive, and pass
12:51	4	Chance Creation	Good Cross	12.0	Good cross; make it higher then go down so goalie cant get it
15:16	5	Dribble,Chance Creation	Excellent Dribbling Shot	22.0	Excellent dribbling and good shot; keep it 2 feet lower for top bins
17:36	4	Possession,Dribble	Good Tenacity, bad pass	17.5	Lance positioned close enough to line to play through, consider playing wing 
19:52	5	Interception,Pass,Possession	Class Interception Pass	7.5	Very class interception and pass
20:55	4	Possession	Class Control	5.0	Class control; should pass to Yuval
24:47	5	Possession,Pass	Great Control Pass	9.0	Great control and pass
26:02	4	Movement,Pass,Dribble	Run Through Pass	12.0	Great run through and pass; out-physicaled a big CB
26:33	4	Possession,Chance Creation	Turn And Shot	5.0	Great turn and shot
45:13	4	Possession,Pass	Great Control Pass	6.0	Great control and pass
45:23	4	Dribble	Full Effort Play	6.0	Good job giving it all you got
46:09	4	Pass	Good Pass	4.5	<notes>
50:24	4	Pass	Great Pass	10.0	Great pass
53:17	4	Dribble	Good Dribbling	9.0	<notes>
54:26	4	Dribble	Great Dribbling	11.0	Great dribbling, bad pass
56:13	4	Possession,Pass	Control Pass Box	7.0	Great control and pass in the box
58:21	4	Pass	Great Forward Pass	5.0	Good idea but you missed his momentum, lots of room ahead of him
65:46	5	1v1 Defense,Dribble,Chance Creation	Class Defense Dribble Cross	15.0	Class defense plus amazing dribbling and cross
71:38	5	Dribble	Great Dribbling	15.0	Great dribbling
