start_time	rating	tags	clip_name	clip_duration	notes
7:03	3	Interception	Steal Draw Foul	15.0	Steal and draw foul
7:41	3	Chance Creation	Free Kick	15.0	Free kick
10:08	3	Interception,Dribble	Steal Nice Dribble	15.0	Steal and nice dribble; unclear call
15:14	4	Possession,Movement	Great Ball Work	15.0	Great work on the ball and great movement
17:51	4	Dribble	Masterful Moves	15.0	Masterful moves; not clear if dribbling or passing
19:33	3	Interception,Assist	Steal And Assist	15.0	Steal and assist
20:34	3	Interception,Pass	Steal Physicality Pass	15.0	Steal with nice physicality and pass
43:19	4	Possession,Pass	Nice Touch Switch	15.0	Nice touch and great switch
44:13	3	Dribble	Corner Earned	15.0	Nice corner earned
57:43	3	Possession,Interception	Turn Intercepted	15.0	Nice turn but pass intercepted
63:08	5	Interception,Pass	Great Steal Through	15.0	Great steal and through ball
68:52	4	1v1 Defense	Great Defense	15.0	Great defense
70:00	4	Possession,Dribble,Pass	Scan Dribble Pass	15.0	Great scanning, dribbling, and pass
70:44	4	Chance Creation	Great Corner	15.0	Great corner
74:14	3	Interception	Header Interception	15.0	Insane header interception and header dribble
