start_time	rating	tags	clip_name	clip_duration	notes
2:04	3	Movement,Possession	Nice Kick Space	15.0	Really nice kick and recognition of space
3:02	3	Possession,Pass	Nice Receive Fast Play	15.0	Nice receive in space and fast play
7:32	5	Pass,Movement,Chance Creation	Brilliant Pass Run Cross	15.0	Brilliant pass, run, cross
12:33	5	Possession,Pass	Great Receive Turn Pass	15.0	Great receive, turn and pass
12:54	4	Dribble	Awesome Beat Three	15.0	Awesome getting past 3
15:27	5	Dribble,Chance Creation	Brilliant Move Cross	15.0	Brilliant work with the move and cross
17:14	5	Chance Creation	Amazing Corner	15.0	What a corner
23:20	4	Dribble	Good Win	15.0	Good win
23:53	4	Interception,Pass,Chance Creation	Great Steal Nutmeg Shot	15.0	Great steal and pass then great nutmeg pass and shot with left
26:41	5	Possession,Pass	Great Control Pass	15.0	Great control and pass
32:15	5	Dribble	Brilliant Dribbling	15.0	Brilliant dribbling; got out of trouble then took dangerous pass
34:09	4	Movement,Dribble	Great Running Lane	15.0	Great job running in lane and attacking CB; tons of space behind him
34:40	4	Possession	Good Reception Turn	15.0	Good reception and turn; play it fast to Elias
35:50	3	Dribble,Pass	Nice Dribble Pass	15.0	Nice dribble and pass; run to the mark
36:25	4	Pass	Awesome Vision	15.0	Awesome vision with the 1 touch to the flag
37:06	3	Dribble	Nice Split	15.0	Nice split; if split touch was softer would score
38:36	4	Pass,Movement	Great Fast Pass	15.0	Good fast pass; great vision; drew in defender with hesi; great run to mark
39:04	3	Dribble	Beat Two Defenders	15.0	Beat 2 defenders but released with no pressure; attack CB and pass when engages
41:05	4	Possession	Great Play	15.0	Great play
51:05	4	Interception	Great Steal	15.0	Great steal; got pushed off ball when jumped; needed bigger forward touch
55:53	5	Pass	Brilliant Pass	15.0	Brilliant pass
58:44	3	Possession,Dribble,Pass	Nice Control Drive Pass	15.0	Nice control, drive and pass
59:55	5	Possession,Dribble,Pass	Top Level Play	15.0	Top level scanning, dribbling and pass
60:32	5	Movement,Dribble	Great Movement Dribbling	15.0	Great movement and dribbling; not sure why foul not called
63:07	5	Dribble,Chance Creation	Wild Moves	15.0	Wild play; if get it over GK you score; great moves; 3 chances created
63:54	3	Interception	Nice Steal	15.0	Nice steal; needed to body both; nice moves but loses ball
64:27	4	Interception,Chance Creation	Great Steal Cross	15.0	Great steal and great cross
65:00	4	Pass,Movement	Great One Touch Run	15.0	Great one touch and run
68:22	4	Movement	Good Channel Run	15.0	Good job running in the channel
68:55	4	Dribble,Chance Creation	Good Work Beat One	15.0	Good work beating 1; need to cross before second defender closes
79:08	4	Pass	Great Vision	15.0	Great vision; made right play
85:14	4	Dribble	Great Around Defender	15.0	Great getting around defender; get it in zone of uncertainty
89:47	5	Possession,Pass	Great Touch Pass	15.0	Great touch and pass
90:28	3	Dribble	Nice Moves	15.0	Nice moves around first defender
